ID,Campaign,Tactic,targeting,Frequency,CPSV,IncrementalVisits
22,1,xAd - Primary - Geoblocks TB & Competitors,Geo,2.95,0.172,"35,262"
24,1,xAd - Primary - LBA Competitive QSRs,LBA,4.8,0.62,"4,231"
25,1,xAd - Primary - LBA Taco Bell,LBA,9.51,0.245,"75,144"
27,1,xAd - Secondary - Geoblocks TB & Breakfast Competitors,Geo,2.51,0.214, -   
28,1,xAd - Secondary - LBA Competitive QSRs,LBA,3.24,0.393,"22,766"
29,1,xAd - Secondary - LBA Taco Bell Breakfast,LBA,4.2,0.363,"9,497"
30,1,xAd - Secondary - Proximity TB,Prox,2.54,0.169,"19,406"
31,2,xAd - Secondary - Proximity TB,Prox,3.5,0.154,"5,611"
32,2,xAd - Secondary - LBA Taco Bell Breakfast,LBA,7.9,0.284,"38,709"
33,2,xAd - Secondary - LBA Competitive QSRs,LBA,4.24,0.556, -   
36,2,xAd - Secondary - Geoblocks TB & Breakfast Competitors,Geo,2.75,0.326,"60,053"
37,2,xAd - Primary - LBA Taco Bell,LBA,6.8,0.307,"17,059"
39,2,xAd - Primary - LBA Competitive QSRs,LBA,7.7,0.436,"13,080"
41,2,xAd - Primary - Geoblocks TB & Competitors,Geo,3.35,0.281,"8,494"
42,2,xAd - Primary - BA Lunch & Dinner Goers,BA,6.67,0.417,"6,408"
44,3,xAd - Secondary - Geoblocks TB & Breakfast Competitors,Geo,2.95,0.315,"35,067"
45,3,xAd - Primary - LBA Competitive QSRs,LBA,6.67,0.49,"10,459"
46,3,xAd - Primary - BA Lunch & Dinner Goers,BA,5.55,0.378,"17,622"
48,3,xAd - Secondary - Proximity TB,Prox,2.73,0.217,"9,302"
50,3,xAd - Secondary - LBA Competitive QSRs,LBA,4.92,0.671,"2,615"
51,3,xAd - Primary - Geoblocks TB & Competitors,Geo,3.75,0.382,"10,453"
54,3,xAd - Primary - LBA Taco Bell,LBA,5.63,0.367,"10,044"
55,3,xAd - Secondary - LBA Taco Bell Breakfast,LBA,5.08,0.357,"7,179"
56,4,xAd - Primary - BA Lunch & Dinner Goers,BA,4.57,0.296,"13,320"
58,4,xAd - Primary - Geoblocks TB & Competitors,Geo,2.73,0.237,"42,432"
60,4,xAd - Primary - LBA Competitive QSRs,LBA,6.36,0.334,"18,970"
61,4,xAd - Primary - LBA Taco Bell,LBA,5.02,0.164,"32,523"
62,4,xAd - Secondary - Geoblocks TB & Breakfast Competitors,Geo,2.85,0.345,"9,471"
65,4,xAd - Secondary - LBA Competitive QSRs,LBA,4.23,0.308,"12,406"
66,4,xAd - Secondary - LBA Taco Bell Breakfast,LBA,3.72,0.18,"14,210"
67,4,xAd - Secondary - Proximity TB,Prox,2.24,0.109,"28,149"
69,5,xAd - Primary - BA Lunch & Dinner Goers,BA,4.5,0.337,"15,290"
70,5,xAd - Primary - Geoblocks TB & Competitors,Geo,4,0.374,"78,269"
72,5,xAd - Primary - LBA Competitive QSRs,LBA,3.5,0.242,"50,500"
74,5,xAd - Primary - LBA Taco Bell,LBA,5,0.167,"50,818"
76,5,xAd - Secondary - Geoblocks TB & Breakfast Competitors,Geo,2.6,0.46,"7,933"
79,5,xAd - Secondary - LBA Competitive QSRs,LBA,3.2,0.223,"29,153"
80,5,xAd - Secondary - LBA Taco Bell Breakfast,LBA,3,0.167,"27,549"
81,5,xAd - Secondary - Proximity TB,Prox,2.1,0.13,"34,880"
82,6,xAd - Primary - BA Lunch & Dinner Goers,BA,3.76,0.245,"10,576"
86,6,xAd - Primary - LBA Competitive QSRs,LBA,3.47,0.168,"45,304"
87,6,xAd - Primary - LBA Taco Bell,LBA,4.57,0.147,"29,202"
88,6,xAd - Primary - Geoblocks TB & Competitors,Geo,3.96,0.444, -   
92,6,xAd - Secondary - Geoblocks TB & Breakfast Competitors,Geo,2.62,0.286, -   
93,6,xAd - Secondary - LBA Competitive QSRs,LBA,1.8,0.325, -   
94,6,xAd - Secondary - LBA Taco Bell Breakfast,LBA,2.93,0.221,"13,982"
95,6,xAd - Secondary - Proximity TB,Prox,2.3,0.158, -   
